"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,,,
Isolate_Id,HA Segment_Id,NA Segment_Id,Location,Collection_Date,Isolate_Name,Originating_Lab,Submitting_Lab,Authors
EPI_ISL_264406,EPI1003276,EPI1003275,North America / United States / Tennessee,4/12/2017,B/Tennessee/22/2017,Tennessee Department of Health Laboratory-Nashville,Centers for Disease Control and Prevention,
EPI_ISL_290773,EPI1137341,EPI1137340,North America / United States / Indiana,12/11/2017,B/Indiana/26/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_268899,EPI1020879,EPI1020878,North America / United States / North Carolina,3/23/2017,B/North Carolina/24/2017,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_270084,EPI1026147,EPI1026146,North America / United States / Iowa,3/6/2017,B/Iowa/18/2017,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_270094,EPI1026224,EPI1026223,North America / United States / Louisiana,3/13/2017,B/Louisiana/23/2017,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
EPI_ISL_298421,EPI1174925,EPI1174924,North America / United States / Maryland,12/30/2017,B/Maryland/49/2017,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_296656,EPI1167336,EPI1167335,North America / United States / Utah,12/27/2017,B/Utah/52/2017,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_296346,EPI1165232,EPI1165231,North America / United States / California,10/13/2017,B/California/63/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_243902,EPI892693,EPI892692,North America / United States / Utah,1/4/2017,B/Utah/02/2017,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_264107,EPI1001989,EPI1001988,North America / United States / Florida,4/22/2017,B/Florida/27/2017,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_259470,EPI978401,EPI978400,North America / United States / Connecticut,3/3/2017,B/Connecticut/18/2017,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_270071,EPI1026043,EPI1026042,North America / United States / Connecticut,4/19/2017,B/Connecticut/50/2017,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_270093,EPI1026216,EPI1026215,North America / United States / Louisiana,3/8/2017,B/Louisiana/22/2017,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
EPI_ISL_243898,EPI892662,EPI892661,North America / United States / Texas,1/2/2017,B/Texas/01/2017,San Antonio Metropolitan Health,Centers for Disease Control and Prevention,
EPI_ISL_249874,EPI924190,EPI924189,North America / United States / Maine,1/31/2017,B/Maine/03/2017,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_267495,EPI1011719,EPI1011718,North America / United States / California,4/7/2017,B/California/21/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_268872,EPI1020664,EPI1020663,North America / United States / Illinois,3/24/2017,B/Illinois/27/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_262765,EPI994636,EPI994635,North America / United States / Florida,3/28/2017,B/Florida/24/2017,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,
EPI_ISL_262766,EPI994644,EPI994643,North America / United States / Georgia,3/18/2017,B/Georgia/06/2017,Georgia Public Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_267574,EPI1012343,EPI1012342,North America / United States / Maryland,4/24/2017,B/Maryland/40/2017,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_296361,EPI1165347,EPI1165346,North America / United States / New Jersey,12/25/2017,B/New Jersey/44/2017,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,
EPI_ISL_267562,EPI1012247,EPI1012246,North America / United States / Maryland,3/28/2017,B/Maryland/28/2017,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_270068,EPI1026019,EPI1026018,North America / United States / Connecticut,4/9/2017,B/Connecticut/46/2017,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_257762,EPI969587,EPI969586,North America / United States / Rhode Island,2/7/2017,B/Rhode Island/02/2017,Rhode Island Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_255253,EPI955136,EPI955135,North America / United States / Arkansas,2/6/2017,B/Arkansas/01/2017,Arkansas Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_257769,EPI969642,EPI969641,North America / United States / South Dakota,2/26/2017,B/South Dakota/12/2017,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_256831,EPI963605,EPI963604,North America / United States / Pennsylvania,1/23/2017,B/Pennsylvania/04/2017,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_268882,EPI1020744,EPI1020743,North America / United States / Illinois,4/13/2017,B/Illinois/40/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_259910,EPI980739,EPI980738,North America / United States / Alabama,1/31/2017,B/Alabama/02/2017,ADPH Bureau of Clinical Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_262841,EPI995237,EPI995236,North America / United States / New York,3/11/2017,B/New York/11/2017,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_256865,EPI963869,EPI963868,North America / United States / North Dakota,2/27/2017,B/North Dakota/05/2017,North Dakota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_273808,EPI1039942,EPI1039941,North America / United States / Hawaii,3/13/2017,B/Hawaii/42/2017,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_264100,EPI1001939,EPI1001938,North America / United States / Colorado,3/21/2017,B/Colorado/12/2017,Colorado Department of Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_290794,EPI1137505,EPI1137504,North America / United States / California,11/29/2017,B/California/74/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_259386,EPI977772,EPI977771,North America / United States / Iowa,3/23/2017,B/Iowa/11/2017,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_267554,EPI1012183,EPI1012182,North America / United States / Minnesota,3/25/2017,B/Minnesota/32/2017,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_266877,EPI1009813,EPI1009812,North America / United States / Arizona,4/24/2017,B/Arizona/19/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_276362,EPI1051283,EPI1051282,North America / United States / Arizona,4/12/2017,B/Arizona/60/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_266634,EPI1008055,EPI1008054,North America / United States / New Jersey,5/8/2017,B/New Jersey/28/2017,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,
EPI_ISL_270130,EPI1026505,EPI1026504,North America / United States / Wisconsin,3/27/2017,B/Wisconsin/48/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_276365,EPI1051307,EPI1051306,North America / United States / Arizona,4/10/2017,B/Arizona/59/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_268878,EPI1020712,EPI1020711,North America / United States / Illinois,4/24/2017,B/Illinois/44/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_268870,EPI1020648,EPI1020647,North America / United States / Illinois,3/25/2017,B/Illinois/30/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_300929,EPI1186439,EPI1186438,North America / United States / Arizona,12/27/2017,B/Arizona/93/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_268874,EPI1020680,EPI1020679,North America / United States / Illinois,3/25/2017,B/Illinois/32/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_260507,EPI984913,EPI984912,North America / United States / Utah,4/10/2017,B/Utah/19/2017,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_257972,EPI971017,EPI971016,North America / United States / Michigan,3/1/2017,B/Michigan/20/2017,Michigan Department of Community Health,Centers for Disease Control and Prevention,
EPI_ISL_264104,EPI1001966,EPI1001965,North America / United States / Connecticut,4/18/2017,B/Connecticut/28/2017,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_270134,EPI1026536,EPI1026535,North America / United States / Wisconsin,4/3/2017,B/Wisconsin/52/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_289615,EPI1130681,EPI1130680,North America / United States / Idaho,11/6/2017,B/Idaho/26/2017,State of Idaho Bureau of Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_292749,EPI1147714,EPI1147713,North America / United States / Hawaii,11/12/2017,B/Hawaii/67/2017,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_256873,EPI963932,EPI963931,North America / United States / Illinois,2/26/2017,B/Illinois/09/2017,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_264105,EPI1001974,EPI1001973,North America / United States / Connecticut,4/20/2017,B/Connecticut/29/2017,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_290806,EPI1137601,EPI1137600,North America / United States / Hawaii,11/27/2017,B/Hawaii/68/2017,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_248272,EPI912618,EPI912617,North America / United States / New York,1/15/2017,B/New York/01/2017,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_287033,EPI1113638,EPI1113637,North America / United States / Michigan,2/28/2017,B/Michigan/50/2017,University of Michigan SPH EPID,Centers for Disease Control and Prevention,
EPI_ISL_267491,EPI1011688,EPI1011687,North America / United States / California,4/7/2017,B/California/17/2017,California Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_259381,EPI977732,EPI977731,North America / United States / Wisconsin,3/19/2017,B/Wisconsin/21/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_274393,EPI1042200,EPI1042199,North America / United States / Florida,7/5/2017,B/Florida/89/2017,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_264133,EPI1002193,EPI1002192,North America / United States / Pennsylvania,5/1/2017,B/Pennsylvania/12/2017,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_276348,EPI1051172,EPI1051171,North America / United States / Tennessee,4/11/2017,B/Tennessee/36/2017,Tennessee Department of Health Laboratory-Nashville,Centers for Disease Control and Prevention,
EPI_ISL_266875,EPI1009797,EPI1009796,North America / United States / Utah,4/27/2017,B/Utah/24/2017,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_292750,EPI1147719,EPI1147718,North America / United States / Hawaii,10/29/2017,B/Hawaii/65/2017,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_270079,EPI1026107,EPI1026106,North America / United States / Delaware,4/18/2017,B/Delaware/42/2017,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_267473,EPI1011552,EPI1011551,North America / United States / Colorado,2/25/2017,B/Colorado/06/2017,Colorado Department of Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_276404,EPI1051612,EPI1051611,North America / United States / Arizona,6/2/2017,B/Arizona/40/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_267529,EPI1011983,EPI1011982,North America / United States / Florida,3/25/2017,B/Florida/46/2017,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,
EPI_ISL_270129,EPI1026497,EPI1026496,North America / United States / Wisconsin,3/27/2017,B/Wisconsin/47/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_267551,EPI1012159,EPI1012158,North America / United States / Minnesota,3/23/2017,B/Minnesota/29/2017,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_276360,EPI1051267,EPI1051266,North America / United States / Arizona,5/13/2017,B/Arizona/76/2017,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_287107,EPI1113888,EPI1113887,North America / United States / Michigan,3/22/2017,B/Michigan/63/2017,University of Michigan SPH EPID,Centers for Disease Control and Prevention,
EPI_ISL_266727,EPI1008776,EPI1008775,North America / United States / Texas,2/28/2017,B/Texas/49/2017,Baylor Scott and White Health,Centers for Disease Control and Prevention,
EPI_ISL_256839,EPI963665,EPI963664,North America / United States / Rhode Island,2/7/2017,B/Rhode Island/02/2017,Rhode Island Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_273828,EPI1040104,EPI1040103,North America / United States / South Dakota,3/26/2017,B/South Dakota/30/2017,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_270126,EPI1026473,EPI1026472,North America / United States / Wisconsin,3/18/2017,B/Wisconsin/44/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_270135,EPI1026544,EPI1026543,North America / United States / Wisconsin,4/4/2017,B/Wisconsin/53/2017,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_266713,EPI1008670,EPI1008669,North America / United States / Michigan,3/14/2017,B/Michigan/27/2017,University of Michigan SPH EPID,Centers for Disease Control and Prevention,
EPI_ISL_287125,EPI1114030,EPI1114029,North America / United States / Michigan,4/5/2017,B/Michigan/72/2017,University of Michigan SPH EPID,Centers for Disease Control and Prevention,
EPI_ISL_270148,EPI1026640,EPI1026639,North America / United States / Wisconsin,3/21/2017,B/Wisconsin/66/2017,City of Milwaukee Health Department,Centers for Disease Control and Prevention,
EPI_ISL_257756,EPI969542,EPI969541,North America / United States / Minnesota,3/5/2017,B/Minnesota/11/2017,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_276408,EPI1051642,EPI1051641,North America / United States / Colorado,2/25/2017,B/Colorado/06/2017,Colorado Department of Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_298437,EPI1175053,EPI1175052,North America / United States / Wisconsin,1/14/2018,B/Wisconsin/02/2018,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_376900,EPI1541759,EPI1541849,North America / United States / Hawaii,3/19/2018,B/Hawaii/7463/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_313076,EPI1246696,EPI1246695,North America / United States / Minnesota,5/9/2018,B/Minnesota/20/2018,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_300106,EPI1182170,EPI1182169,North America / United States / Montana,1/15/2018,B/Montana/03/2018,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,
EPI_ISL_309663,EPI1228814,EPI1228813,North America / United States / Arizona,2/23/2018,B/Arizona/22/2018,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_332023,EPI1324255,EPI1324254,North America / United States / Louisiana,10/24/2018,B/Louisiana/14/2018,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
EPI_ISL_358292,EPI1450491,EPI1450490,North America / United States / Pennsylvania,1/31/2018,B/Pennsylvania/21/2018,Children's Hospital of Pittsburgh UPMC,Centers for Disease Control and Prevention,
EPI_ISL_311578,EPI1239333,EPI1239332,North America / United States / Massachusetts,4/9/2018,B/Massachusetts/13/2018,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_339817,EPI1362790,EPI1362789,North America / United States / Maryland,12/23/2018,B/Maryland/39/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_303003,EPI1196563,EPI1196562,North America / United States / Pennsylvania,1/29/2018,B/Pennsylvania/03/2018,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_332033,EPI1324332,EPI1324331,North America / United States / Maryland,10/8/2018,B/Maryland/30/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_311558,EPI1239178,EPI1239177,North America / United States / North Dakota,4/12/2018,B/North Dakota/09/2018,North Dakota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_335843,EPI1344567,EPI1344566,North America / United States / Maryland,10/1/2018,B/Maryland/27/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_361577,EPI1475974,EPI1475973,North America / United States / Wisconsin,3/8/2018,B/Wisconsin/115/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_300928,EPI1186431,EPI1186430,North America / United States / Hawaii,1/5/2018,B/Hawaii/04/2018,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_309718,EPI1229238,EPI1229237,North America / United States / Delaware,4/4/2018,B/Delaware/25/2018,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_321189,EPI1273609,EPI1273608,North America / United States / Florida,7/24/2018,B/Florida/42/2018,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_309695,EPI1229054,EPI1229053,North America / United States / Virginia,3/28/2018,B/Virginia/10/2018,Virginia Division of Consolidated Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_339786,EPI1362545,EPI1362544,North America / United States / Maryland,12/19/2018,B/Maryland/37/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_373142,EPI1530797,EPI1530885,North America / United States / New York,2/1/2018,B/New York/7294/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_303016,EPI1196667,EPI1196666,North America / United States / West Virginia,1/29/2018,B/West Virginia/08/2018,West Virginia Office of Laboratory Services,Centers for Disease Control and Prevention,
EPI_ISL_332268,EPI1325737,EPI1325736,North America / United States / Maryland,10/1/2018,B/Maryland/27/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_307827,EPI1221135,EPI1221134,North America / United States / North Dakota,3/27/2018,B/North Dakota/07/2018,North Dakota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_306821,EPI1214603,EPI1214602,North America / United States / Arizona,2/15/2018,B/Arizona/13/2018,Arizona Department of Health Services,Centers for Disease Control and Prevention,
EPI_ISL_305150,EPI1206592,EPI1206591,North America / United States / Alabama,2/26/2018,B/Alabama/09/2018,ADPH Bureau of Clinical Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_373169,EPI1531126,EPI1531154,North America / United States / North Dakota,3/15/2018,B/North Dakota/7320/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_303007,EPI1196595,EPI1196594,North America / United States / New York,1/24/2018,B/New York/03/2018,New York State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_309650,EPI1228711,EPI1228710,North America / United States / Delaware,2/6/2018,B/Delaware/18/2018,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_313113,EPI1246965,EPI1246964,North America / United States / Hawaii,4/11/2018,B/Hawaii/18/2018,State of Hawaii Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_307779,EPI1220756,EPI1220755,North America / United States / Connecticut,3/21/2018,B/Connecticut/20/2018,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_296359,EPI1165331,EPI1165330,North America / United States / Minnesota,1/1/2018,B/Minnesota/01/2018,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_358392,EPI1451268,EPI1451267,North America / United States / Washington,2/9/2018,B/Washington/10/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_300138,EPI1182381,EPI1182380,North America / United States / Maine,1/28/2018,B/Maine/06/2018,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_339819,EPI1362806,EPI1362805,North America / United States / Maryland,12/26/2018,B/Maryland/42/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_313173,EPI1247412,EPI1247411,North America / United States / Missouri,4/16/2018,B/Missouri/16/2018,Missouri Department. of Health & Senior Services,Centers for Disease Control and Prevention,
EPI_ISL_302988,EPI1198059,EPI1196449,North America / United States / Minnesota,2/4/2018,B/Minnesota/07/2018,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_360968,EPI1471137,EPI1471136,North America / United States / Washington,1/9/2018,B/Washington/53/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_336471,EPI1348272,EPI1348271,North America / United States / New Mexico,12/9/2018,B/New Mexico/16/2018,New Mexico Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_309648,EPI1228695,EPI1228694,North America / United States / Delaware,2/6/2018,B/Delaware/16/2018,Delaware Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_313126,EPI1247059,EPI1247058,North America / United States / Utah,4/5/2018,B/Utah/18/2018,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_306844,EPI1214784,EPI1214783,North America / United States / Minnesota,3/9/2018,B/Minnesota/11/2018,Minnesota Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_361644,EPI1476505,EPI1476502,North America / United States / Wisconsin,3/15/2018,B/Wisconsin/147/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_376452,EPI1538607,EPI1538675,North America / United States / Texas,1/31/2018,B/Texas/7080/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_306848,EPI1214816,EPI1214815,North America / United States / Utah,2/19/2018,B/Utah/13/2018,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_332273,EPI1325774,EPI1325773,North America / United States / Maryland,10/5/2018,B/Maryland/29/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_361635,EPI1476430,EPI1476428,North America / United States / Wisconsin,3/26/2018,B/Wisconsin/191/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_336425,EPI1347918,EPI1347917,North America / United States / Louisiana,10/24/2018,B/Louisiana/14/2018,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,
EPI_ISL_334264,EPI1337550,EPI1337549,North America / United States / Montana,12/8/2018,B/Montana/34/2018,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,
EPI_ISL_361650,EPI1476546,EPI1476544,North America / United States / Wisconsin,3/15/2018,B/Wisconsin/149/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_358458,EPI1451793,EPI1451792,North America / United States / Wisconsin,3/29/2018,B/Wisconsin/22/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_314490,EPI1254322,EPI1254321,North America / United States / Alaska,5/10/2018,B/Alaska/16/2018,Alaska State Virology Lab,Centers for Disease Control and Prevention,
EPI_ISL_309729,EPI1229325,EPI1229324,North America / United States / Michigan,4/9/2018,B/Michigan/30/2018,Michigan Department of Community Health,Centers for Disease Control and Prevention,
EPI_ISL_361643,EPI1476501,EPI1476498,North America / United States / Wisconsin,3/26/2018,B/Wisconsin/194/2018,Marshfield Clinic Research Foundation,Centers for Disease Control and Prevention,
EPI_ISL_376945,EPI1542093,EPI1542133,North America / United States / Virginia,1/3/2018,B/Virginia/7672/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_313139,EPI1247148,EPI1247147,North America / United States / Connecticut,4/23/2018,B/Connecticut/30/2018,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_309132,EPI1225974,EPI1225973,North America / United States / Maine,3/19/2018,B/Maine/18/2018,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_313092,EPI1246811,EPI1246810,North America / United States / Vermont,4/23/2018,B/Vermont/12/2018,Vermont Department of Health Laboratory,Centers for Disease Control and Prevention,
EPI_ISL_332031,EPI1324316,EPI1324315,North America / United States / Maryland,10/1/2018,B/Maryland/28/2018,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,
EPI_ISL_336398,EPI1347708,EPI1347707,North America / United States / Montana,12/27/2018,B/Montana/38/2018,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,
EPI_ISL_358299,EPI1450542,EPI1450541,North America / United States / Pennsylvania,2/18/2018,B/Pennsylvania/24/2018,Children's Hospital of Pittsburgh UPMC,Centers for Disease Control and Prevention,
EPI_ISL_336421,EPI1347887,EPI1347886,North America / United States / Florida,12/23/2018,B/Florida/58/2018,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,
EPI_ISL_305109,EPI1206265,EPI1206264,North America / United States / North Carolina,2/19/2018,B/North Carolina/16/2018,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,
EPI_ISL_304361,EPI1202623,EPI1202622,North America / United States / Pennsylvania,2/19/2018,B/Pennsylvania/06/2018,Pennsylvania Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_373120,EPI1530775,EPI1530862,North America / United States / Delaware,3/8/2018,B/Delaware/7271/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_309712,EPI1229190,EPI1229189,North America / United States / Oklahoma,4/3/2018,B/Oklahoma/12/2018,Oklahoma State Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_306846,EPI1214800,EPI1214799,North America / United States / Utah,3/3/2018,B/Utah/15/2018,Utah Department of Health,Centers for Disease Control and Prevention,
EPI_ISL_311614,EPI1239617,EPI1239616,North America / United States / South Dakota,4/19/2018,B/South Dakota/15/2018,South Dakota Public Health Lab,Centers for Disease Control and Prevention,
EPI_ISL_373172,EPI1531129,EPI1531157,North America / United States / South Carolina,3/19/2018,B/South Carolina/7323/2018,,Import from public-domain,"Gruner,W.E.; Fries,A.C.; Garrett,C.M.; Powell,M.L.; Minnich,D.E.; Couch,M.R.; Hanson,J.F.; DeMarcus,L.S.; Crum,M.E.; Bogue,A.L.; Federinko,S.P.; Macias,E.A.; West,C.A.; Poel,J.R."
EPI_ISL_306172,EPI1212052,EPI1212051,North America / United States / Idaho,3/9/2018,B/Idaho/10/2018,State of Idaho Bureau of Laboratories,Centers for Disease Control and Prevention,
EPI_ISL_338647,EPI1357132,EPI1357131,North America / United States / Michigan,12/22/2018,B/Michigan/120/2018,Michigan Department of Community Health,Centers for Disease Control and Prevention,
